Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV
No,No,No,2,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,10.399519219656263,1,3239
No,No,Yes,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,12.314625451064275,1,2701
No,No,Yes,8,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,28.64437117480501,1,5372
No,Yes,Yes,28,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,55.19103188018865,1,5003
No,No,Yes,49,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,70.96689368994531,1,5340
No,Yes,No,10,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,22.985865221914096,1,5925
Yes,No,No,1,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,6.296824596572466,1,5433
No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,4.488875137492688,1,4832
No,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,68.9140769364286,1,5789
No,Yes,No,1,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,5.495452665613635,1,2915
No,No,No,17,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,33.06206285155238,1,3022
No,No,Yes,5,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,17.80168531347524,1,2454
No,No,Yes,34,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,59.57558224642039,1,2941
No,No,Yes,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,33.24755630117799,1,5674
No,No,Yes,2,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,12.006248373242993,1,5586
No,No,Yes,15,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,37.76771107705628,1,2966
Yes,Yes,Yes,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,25.16545250934304,1,5302
Yes,No,Yes,18,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,41.863468561503595,1,3179
No,No,Yes,9,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,29.278831943914703,1,5571
No,No,Yes,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,8.907861696277058,1,2483
No,Yes,Yes,7,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,22.29125389025929,1,3457
No,No,Yes,12,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,30.452421906968254,1,5806
No,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,10.670051546267244,1,2604
Yes,Yes,Yes,25,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,50.14479035752368,1,5337
No,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,87.24591680990005,1,5034
No,Yes,Yes,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,72.38024592387069,1,5154
Yes,Yes,Yes,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,53.5551118008356,1,2793
